Target,Prompt,Tweets,Tweets,Tweets
joerogan,"Jamie,","Jamie, let me know when you're in LA and let's make it happen!","Jamie, you're a fucking bad motherfucker.","Jamie, I would love to have you on my podcast!"
joerogan,"Jamie,","Jamie, let me know when you're in LA and let's do a podcast!","Jamie, you're a fucking bad motherfucker!","Jamie, I would love to have you on my podcast. Let's do it!"
joerogan,"Jamie,","Jamie, let me know when you're in LA and we'll hook it up!","Jamie, let's do this shit, bitches!","Jamie, I would love to have you on the podcast!"
joerogan,"Jamie,","Jamie, let me know when you're in LA and we'll hook it up.","Jamie, let's do this shit together!","Jamie, I would love to have you on my podcast."
joerogan,"Jamie,","Jamie, let's do a podcast! DM me your details and I'll hook it up!","Jamie, you're a bad motherfucker!","Jamie, I would love to have you on my podcast today!"
joerogan,"Jamie,","Jamie, let's do a podcast! DM me your details and I'll hook it up","Jamie, let's do this shit up!","Jamie, if you're ever in LA I would love to have you on my podcast."
joerogan,"Jamie,","Jamie, let me know when you're back in LA!","Jamie, you're a bad motherfucker.","Jamie, if you're ever in LA I would love to have you on my podcast!"
joerogan,"Jamie,","Jamie, let's do a podcast! DM me your details and we'll make it happen!","Jamie, let's do this shit together.","Jamie, I would love to have you on my podcast. Let me know!"
joerogan,"Jamie,","Jamie, let's do a podcast! DM me your info and I'll hook it up!","Jamie, you're a bad motherfucker","Jamie, I would love to have you on my podcast today."
joerogan,"Jamie,","Jamie, let's do a podcast! DM me your details and we'll hook it up!","Jamie, let's do this shit, bitches.","Jamie, if you're ever in LA I would love to have you on the podcast with me."
