Target,Prompt,Tweets,Tweets,Tweets
joerogan,"Jamie,","Jamie, @madflavor I read that and I almost clicked. I’m hooked. If I could talk that much I would say, ""happier"" than ever.","Jamie, that's a really cool song.","Jamie, that's a really cool song."
joerogan,"Jamie,","Jamie, I would love to have you on the podcast.","Jamie, who played the evil motherfucker in ""The Hurt Locker"" is in for the first time in years. He’s got a LOT going on in the podcast today, so let”t go!","Jamie, who played the evil motherfucker in ""The Hurt Locker"" is in for the first time in years. He’s got a LOT going on in the podcast today, so let”t go!"
joerogan,"Jamie,","Jamie, you're the right man. Glad to have you on.","Jamie, @joerogandotnet, and me!","Jamie, @joerogandotnet, and me!"
joerogan,"Jamie,","Jamie, I want to meet you in 3 months! Can't wait!","Jamie, what's your favorite part of the show?","Jamie, what's your favorite part of the show?"
joerogan,"Jamie,","Jamie, I’m at the beautiful, beautiful @jeremymma theatre to celebrate…","Jamie, you're a fucking bad motherfucker. You're the shit, brother.","Jamie, you're a fucking bad motherfucker. You're the shit, brother."
joerogan,"Jamie,","Jamie, how do I do my twitter?","Jamie, you fucking savages. You're a fucking savage.","Jamie, you fucking savages. You're a fucking savage."
joerogan,"Jamie,","Jamie, I’m impressed. It can be said that no one in the UFC will lose to you. I'll leave you some love.","Jamie, you know what, are you saying?","Jamie, you know what, are you saying?"
joerogan,"Jamie,","Jamie, just thought I should tell you a little bit about the film and the podcast that you could enjoy it…","Jamie, I'm sure you're aware of how much shit I just tweeted.","Jamie, I'm sure you're aware of how much shit I just tweeted."
joerogan,"Jamie,","Jamie, I think we should just do the same thing.","Jamie, I'm going to be on @thecomedystore and @ufc tonight!","Jamie, I'm going to be on @thecomedystore and @ufc tonight!"
joerogan,"Jamie,","Jamie, you should be able to get your message out there today.”. ・・. My thoughts on twitter, my wife and I discussing the matter of @Laughingestatscom","Jamie, that was really nice of you guys. What's your take on the latest instalment? What did you do?","Jamie, that was really nice of you guys. What's your take on the latest instalment? What did you do?"
