Target,Prompt,Tweets,Tweets,Tweets
hankgreen,"Dear John,","Dear John, I don’t know what to do about this.","Dear John, I can’t tell you how much I hate you.","Dear John, I would like to talk to you about something I've been thinking about for a long time."
hankgreen,"Dear John,","Dear John, I don’t know what to do about this, but I want you to know that I am not the only one who thinks this is a good idea.","Dear John, I can’t tell you how excited I am to be working with you.","Dear John, I would like to talk to you about something I've been thinking about for a very long time."
hankgreen,"Dear John,","Dear John, I don’t know what to do about this, but I want you to know that I am not the only one who feels this way.","Dear John, I can’t tell you how excited I am to be a part of this movement.","Dear John, I would like to talk to you about something I've been thinking about for a while."
hankgreen,"Dear John,","Dear John, I don't know what to do about this.","Dear John, I can’t tell you how excited I am to be a part of this community.","Dear John, I would like to talk to you about something I've been working on for a long time."
hankgreen,"Dear John,","Dear John, I don’t know what to do about this, but I want you to know that I am not the only one who thinks it's a bad idea.","Dear John, I can’t tell you how excited I am to be working with you on a project I'm working on right now.","Dear John, I would like to talk to you about something I'm working on right now."
hankgreen,"Dear John,","Dear John, I don’t know what to do about this, but I want you to know that I am not the only one who does it.","Dear John, I can’t tell you how excited I am to be a part of this.","Dear John, I would like to talk to you about this."
hankgreen,"Dear John,","Dear John, I don’t know what to do about this, but I want you to know that I am not the only one who thinks this is a bad idea.","Dear John, I can’t tell you how excited I am to be working with you on this amazing project.","Dear John, I would like to ask you a question."
hankgreen,"Dear John,","Dear John, I don’t know what to do about this, but I want you to know that I am not the only one who thinks it's a good idea.","Dear John, I can’t tell you how excited I am to be a part of this thing.","Dear John, I would like to talk to you about something I've been working on for a while now."
hankgreen,"Dear John,","Dear John, I don’t know what to do about this, but I want you to know that I am not the only one who thinks it is a good idea.","Dear John, I can’t tell you how excited I am to be working with you on a project I'm working on right now!","Dear John, I would like to talk to you about something I've been working on for a while."
hankgreen,"Dear John,","Dear John, I don’t know what to do about this, but I want you to know that I am not the only one who has done it.","Dear John, I can’t tell you how excited I am to be working with you on a project that I have been working on for a while.","Dear John, I would like to talk to you about something."
