Target,Prompt,Tweets,Tweets,Tweets
joerogan,"Jamie,","Jamie, I would love to have you on my podcast!","Jamie, you fucking savage! RT @jimmysmithmma: @joerogan what did he say?","Jamie, let me know when you're going to be in LA and let's do this shit!"
joerogan,"Jamie,","Jamie, I would love to have you on my podcast. Let's do it!","Jamie, what's the most fucked up thing I've ever heard in a tweet?","Jamie, let’s do it!"
joerogan,"Jamie,","Jamie, I would love to have you on my podcast if you're ever in LA!","Jamie, you're a fucking douchebag. You're the one that got out of this fucking thing.","Jamie, let me know when you're going to be in LA and we'll hook it up!"
joerogan,"Jamie,","Jamie, I would love to have you on my podcast! Let me know if you're ever in LA and I'll hook it up!","Jamie, you're a fucking bad motherfucker.","Jamie, let me know when you're going to be in LA. I would love to have you on!"
joerogan,"Jamie,","Jamie, I would love to have you on my podcast.","Jamie, you really have a great time with @AriShaffir! #Repost…","Jamie, let me know when you're going to be in LA. I would love to have you on."
joerogan,"Jamie,","Jamie, I would love to have you on my podcast! Let me know if you're ever in LA!","Jamie, you fucking savages. You can't beat that shit out of me, SON","Jamie, let me know when you're in LA and I'll hook you up."
joerogan,"Jamie,","Jamie, I would love to have you on my podcast! Let's do it!","Jamie, you’re not the only one that's got that shit up.","Jamie, let me know when you're going to be in LA and we'll hook it up."
joerogan,"Jamie,","Jamie, if you're ever in LA I would love to have you on my podcast.","Jamie, that's a fucking BOSS.","Jamie, let me know when you're in LA and I'll hook you up!"
joerogan,"Jamie,","Jamie, if you're ever in LA I would love to have you on my podcast. Let's do it!","Jamie, I'm really looking forward to that. You're a fucking savage!","Jamie, let me know when you're in LA and I'll hook you up with some tickets!"
joerogan,"Jamie,","Jamie, I would love to have you on my podcast! Let me know if you're ever in LA and I'll let you know!","Jamie, you're a fucking bad motherfucker. You're an awesome mother fucker","Jamie, let me know when you're going to be in LA and I'll hook you up."
