Target,Prompt,Tweets,Target,Prompt,Tweets,Target,Prompt,Tweets
joerogan,"Jamie,","Jamie, you fucking savages. You're a fucking savage.",,,,joerogan,"Jamie,","Jamie, you fucking savages. You're a fucking savage."
joerogan,"Jamie,","Jamie, you know what, are you saying?",,,,joerogan,"Jamie,","Jamie, you know what, are you saying?"
joerogan,"Jamie,","Jamie, I'm sure you're aware of how much shit I just tweeted.",,,,joerogan,"Jamie,","Jamie, I'm sure you're aware of how much shit I just tweeted."
joerogan,"Jamie,","Jamie, I'm going to be on @thecomedystore and @ufc tonight!",,,,joerogan,"Jamie,","Jamie, I'm going to be on @thecomedystore and @ufc tonight!"
joerogan,"Jamie,","Jamie, that was really nice of you guys. What's your take on the latest instalment? What did you do?",,,,joerogan,"Jamie,","Jamie, that was really nice of you guys. What's your take on the latest instalment? What did you do?"
,,,joerogan,"Jamie,","Jamie, @madflavor I read that and I almost clicked. I’m hooked. If I could talk that much I would say, ""happier"" than ever.",,,
,,,joerogan,"Jamie,","Jamie, I would love to have you on the podcast.",,,
,,,joerogan,"Jamie,","Jamie, you're the right man. Glad to have you on.",,,
,,,joerogan,"Jamie,","Jamie, I want to meet you in 3 months! Can't wait!",,,
,,,joerogan,"Jamie,","Jamie, I’m at the beautiful, beautiful @jeremymma theatre to celebrate…",,,
