Target,Prompt,Tweets,Target,Prompt,Tweets,Target,Prompt,Tweets
SenSanders,"Mr. President,","Mr. President, you should not be involved in what is happening in Libya. Mr. Putin should know that the people he works with are fighting this war against his people.",,,,SenSanders,"Mr. President,","Mr. President, we cannot continue the failed #TPP. #FastTrack"
SenSanders,"Mr. President,","Mr. President, the Republican Party is supposed to represent all Americans and not just billionaires. We can't afford to throw millions of the pennies into our wars and bail them out of it and let them get away with it.",,,,SenSanders,"Mr. President,","Mr. President, you are the only candidate who isn't trapped in the heat of racism. Your life is being destroyed."
SenSanders,"Mr. President,","Mr. President, I'm very proud of what the Voting Rights Act accomplished for the nation.",,,,SenSanders,"Mr. President,","Mr. President, take a moment to answer your question."
SenSanders,"Mr. President,","Mr. President, we must work toward an economic recovery that is healthy, inclusive and sustainable.",,,,SenSanders,"Mr. President,","Mr. President, we must overturn #CitizensUnited and stop all federal income and wealth tax breaks."
SenSanders,"Mr. President,","Mr. President, I hope we will soon pass the Affordable Care Act and we won't have to deal in the form of a budget that makes $2,700 a year for seniors.",,,,SenSanders,"Mr. President,","Mr. President, let us end the filibuster to shut down government, stop filibusters, and end voter suppression."
,,,SenSanders,"Mr. President,","Mr. President, the middle class and working people of our country are being ripped off.",,,
,,,SenSanders,"Mr. President,","Mr. President, do you think that Mr. Trump and House Republicans are doing everything they can to protect lives and pensions for employees? Or do we have another president, Donald Trump?",,,
,,,SenSanders,"Mr. President,","Mr. President, stop lying. You've got to stand up to the corporate campaign finance system.",,,
,,,SenSanders,"Mr. President,","Mr. President, we ask you to sign this bill into law.",,,
,,,SenSanders,"Mr. President,","Mr. President, do you know what the #Fed did to our economy?",,,
