Target,Prompt,Tweets,Target,Prompt,Tweets,Target,Prompt,Tweets
hankgreen,"Dear John,","Dear John, I am so very sad that I have to see you go through this.",hankgreen,"Dear John,","Dear John, I know how to do that, but I'm not a good fit in the video.",hankgreen,"Dear John,","Dear John, I am so very sad that I have to see you go through this."
hankgreen,"Dear John,","Dear John, I have a friend who is really good at something and I don't know what to do about it. I'm not a genius.",hankgreen,"Dear John,","Dear John, I want to make a video about you.",hankgreen,"Dear John,","Dear John, I have a friend who is really good at something and I don't know what to do about it. I'm not a genius."
hankgreen,"Dear John,","Dear John, I don't have any idea how to respond to your question. But I do know that the people who have done it are very good, and I'm just not sure what I'd say to someone who isn't my age.",hankgreen,"Dear John,","Dear John, this is a thing! I just read a tweet from @jennifermc IRL and it's so sad!",hankgreen,"Dear John,","Dear John, I don't have any idea how to respond to your question. But I do know that the people who have done it are very good, and I'm just not sure what I'd say to someone who isn't my age."
hankgreen,"Dear John,","Dear John, I have a weird habit of getting drunk and eating crack and then being like, ""I know, this is a bad idea, but it would help, it's a good idea."".. But I've found a way to do this without getting sick and having the flu and it is really wonderful.",hankgreen,"Dear John,","Dear John, I love that you got to meet him so much.",hankgreen,"Dear John,","Dear John, I have a weird habit of getting drunk and eating crack and then being like, ""I know, this is a bad idea, but it would help, it's a good idea."".. But I've found a way to do this without getting sick and having the flu and it is really wonderful."
hankgreen,"Dear John,","Dear John, this is a weird question. How did you get the idea that there might be a way out?",hankgreen,"Dear John,","Dear John, I would like to make you available for a chat.",hankgreen,"Dear John,","Dear John, this is a weird question. How did you get the idea that there might be a way out?"
hankgreen,"Dear John,","Dear John, I'm not sure what to make of this but you're a fucking mess.",,,,,,
hankgreen,"Dear John,","Dear John, I'm going to miss you so much. But I don't want to do it.",,,,,,
hankgreen,"Dear John,","Dear John, I'm going to be in a video about my new book tomorrow (March 13) and I want to tell you that it's not a book. It's a story about how my wife, a nurse, and a firefighter became the first couple in their family ever to die and it was a wonderful story.",,,,,,
hankgreen,"Dear John,","Dear John, I'm a huge fan of @johngreen. I am deeply saddened by your decision. It was a deeply disappointing decision and I wish him luck in the future endeavors of his business.",,,,,,
hankgreen,"Dear John,","Dear John, I have a friend who is a professional writer who has written for a bunch of different places. He's been working on this for years. And I know it's not easy for him to do it all at once.",,,,,,
