Target,Prompt,Tweets,Target,Prompt,Tweets,Target,Prompt,Tweets
joerogan,"Jamie,","Jamie, that's a really cool song.",joerogan,"Jamie,","Jamie, @madflavor I read that and I almost clicked. I’m hooked. If I could talk that much I would say, ""happier"" than ever.",joerogan,"Jamie,","Jamie, that's a really cool song."
joerogan,"Jamie,","Jamie, who played the evil motherfucker in ""The Hurt Locker"" is in for the first time in years. He’s got a LOT going on in the podcast today, so let”t go!",joerogan,"Jamie,","Jamie, I would love to have you on the podcast.",joerogan,"Jamie,","Jamie, who played the evil motherfucker in ""The Hurt Locker"" is in for the first time in years. He’s got a LOT going on in the podcast today, so let”t go!"
joerogan,"Jamie,","Jamie, @joerogandotnet, and me!",joerogan,"Jamie,","Jamie, you're the right man. Glad to have you on.",joerogan,"Jamie,","Jamie, @joerogandotnet, and me!"
joerogan,"Jamie,","Jamie, what's your favorite part of the show?",joerogan,"Jamie,","Jamie, I want to meet you in 3 months! Can't wait!",joerogan,"Jamie,","Jamie, what's your favorite part of the show?"
joerogan,"Jamie,","Jamie, you're a fucking bad motherfucker. You're the shit, brother.",joerogan,"Jamie,","Jamie, I’m at the beautiful, beautiful @jeremymma theatre to celebrate…",joerogan,"Jamie,","Jamie, you're a fucking bad motherfucker. You're the shit, brother."
joerogan,"Jamie,","Jamie, you fucking savages. You're a fucking savage.",,,,,,
joerogan,"Jamie,","Jamie, you know what, are you saying?",,,,,,
joerogan,"Jamie,","Jamie, I'm sure you're aware of how much shit I just tweeted.",,,,,,
joerogan,"Jamie,","Jamie, I'm going to be on @thecomedystore and @ufc tonight!",,,,,,
joerogan,"Jamie,","Jamie, that was really nice of you guys. What's your take on the latest instalment? What did you do?",,,,,,
