Target,Prompt,Tweets,Tweets,Tweets
paddingtonbear,"Mr. Brown,","Mr. Brown, I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.","Mr. Brown, I didn't think Mr. Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise.","Mr. Brown, I'm pleased we can help you to remember when #Paddington2"
paddingtonbear,"Mr. Brown,","Mr. Brown, I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr. Curry's to remind everyone.","Mr. Brown, I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.","Mr. Brown, Mr Brown and Mr Gruber."
paddingtonbear,"Mr. Brown,","Mr. Brown, I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.","Mr. Brown, I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.","Mr. Brown, I hope you like it."
paddingtonbear,"Mr. Brown,","Mr. Brown, I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!","Mr. Brown, I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.","Mr. Brown, I'm pleased we can help you to remember when:"
paddingtonbear,"Mr. Brown,","Mr. Brown, I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.","Mr. Brown, I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.","Mr. Brown, I'm pleased we can help you to remember when #Paddington2 is released!"
paddingtonbear,"Mr. Brown,","Mr. Brown, I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!","Mr. Brown, I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise.","Mr. Brown, I'm pleased we can help you to remember when #Paddington2 is released for youto watch at home"
paddingtonbear,"Mr. Brown,","Mr. Brown, I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.","Mr. Brown, I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does!","Mr. Brown, Mr Gruber and Mr Brown are all very nice people."
paddingtonbear,"Mr. Brown,","Mr. Brown, I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!","Mr. Brown, I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.","Mr. Brown, I'm pleased we can help you to remember when #Paddington2 is released!"
paddingtonbear,"Mr. Brown,","Mr. Brown, I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.","Mr. Brown, I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it","Mr. Brown, I'm pleased we can help you to remember when #Paddington2 is released for your viewing pleasure."
paddingtonbear,"Mr. Brown,","Mr. Brown, I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!","Mr. Brown, I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.","Mr. Brown, I'm pleased we can help you to remember when #Paddington2 is released for youto:"
