Target,Prompt,Tweets,Tweets,Tweets
SenSanders,"Mr. President,","Mr. President, we have got to stand up to the greed of the pharmaceutical industry.","Mr. President, I want to congratulate you and your family for making it easier for people to participate in the political process in a way that is fair to all of you. I look forward to working with you on this very important issue.","Mr. President, listen to the scientists. Climate change is not a ""hoax."" It is real and it is caused by human activity. We must transform our energy system away from fossil fuels and create millions of good-paying jobs rebuilding our disappearing middle class."
SenSanders,"Mr. President,","Mr. President, we have got to stand up to the greed of the pharmaceutical industry, which is killing Americans every day.","Mr. President, I want to congratulate you and your family for making it easier for people to participate in the political process in a way that works for all of us.","Mr. President, listen to the scientists. Climate change is not a ""hoax."" It is real and it is caused by human activity. We must act boldly to transform our energy system away from fossil fuel to energy efficiency and sustainable energy."
SenSanders,"Mr. President,","Mr. President, we have got to stand up to the greed and recklessness of the pharmaceutical industry.","Mr. President, I want to congratulate you and your family for making it easier for people to get involved in the political process.","Mr. President, listen to the scientists. Climate change is not a ""hoax."" It is real and it is caused by human activity. We must act boldly to transform our energy system away from fossil fuels."
SenSanders,"Mr. President,","Mr. President, we have got to end all of the tax breaks for oil and coal companies.","Mr. President, I want to congratulate you and your family for making it easier for people to participate in the political process.","Mr. President, listen to the scientists. Climate change is not a ""hoax."" It is real and it is caused by human activity. We must act boldly to transform our energy system away from fossil fuels and toward energy efficiency and sustainable energy."
SenSanders,"Mr. President,","Mr. President, we have got to stand up to the greed of the pharmaceutical industry, which is killing Americans.","Mr. President, I want to congratulate you and your family for making it easier for people to participate in the political process in a way that is fair to all of you. I look forward to working with you on this important issue.","Mr. President, listen to the scientists. Climate change is not a ""hoax."" It is real and it is caused by human activity. We must transform our energy system away from fossil fuels and toward energy efficiency and sustainable energy."
SenSanders,"Mr. President,","Mr. President, we have got to stand up and fight back.","Mr. President, I want to congratulate you and your family for making it easier for people to participate in the political process in a way that is fair to all of you. I look forward to working with you in this effort.","Mr. President, listen to the scientists. Climate change is not a ""hoax."" It is real and it is caused by human activity."
SenSanders,"Mr. President,","Mr. President, we have got to stand up to the greed of Wall Street.","Mr. President, I want to congratulate you and your family for making it easier for people to participate in the political process in a way that is fair to all of you.","Mr. President, listen to the scientists. Climate change is real and it is caused by human activity."
SenSanders,"Mr. President,","Mr. President, we have got to stand up to the greed of the pharmaceutical industry and stop this greed.","Mr. President, I want to congratulate you and your family for making it easier for people to participate in the political process in a way that is fair to all of you. I look forward to working with you on this important piece of legislation.","Mr. President, listen to the scientists. Climate change is not a ""hoax."" It is real and it is caused by human activity. We must transform our energy system away from fossil fuels."
SenSanders,"Mr. President,","Mr. President, we have got to stand up to the greed of the pharmaceutical industry and stop this greed from happening.","Mr. President, I want to congratulate you and your family for making it easier for people to participate in the political process in a way that works for all of us all.","Mr. President, listen to the scientists. Climate change is not a ""hoax."" It is real and it is caused by human activity. We must act boldly to transform our energy system away from fossil fuels to sustainable energy."
SenSanders,"Mr. President,","Mr. President, we have got to stand up to the greed on Wall Street.","Mr. President, I want to congratulate you and your family for making it easier for people to participate in the political process in a way that is fair to all of you. I look forward to working with you on this important legislation.","Mr. President, listen to the scientists. Climate change is not a ""hoax."" It is real and it is caused by human activity. We must transform our energy system away from fossil fuels and create millions of good-paying jobs rebuilding the disappearing middle class."
